id_edificio,latitud,longitud,altura_estimada
79581245,37.3653336,-5.9679773,6.0
79581246,37.3649621,-5.9690043,6.0
79581247,37.365587,-5.9712533,6.0
79581259,37.3635938,-5.9729862,6.0
79606584,37.3705518,-6.0277909,6.0
80854204,37.3650325,-5.9653465,6.0
81730960,37.3644018,-5.9828373,6.0
81970648,37.4002213,-5.9941521,6.0
81970651,37.4014918,-5.9941857,6.0
82031681,37.3994628,-5.9915224,6.0
82031694,37.3994752,-5.9911913,6.0
82803934,37.3564833,-5.9782065,15.0
82803941,37.3559147,-5.9778281,6.0
91315402,37.3534527,-5.9527347,6.0
92118876,37.3463828,-5.9346396,6.0
93370845,37.3691956,-5.9598243,6.0
95719466,37.4004736,-6.0033515,6.0
97083157,37.4005627,-5.9248567,6.0
97774335,37.4017632,-5.9316126,6.0
98185592,37.407717,-5.9243668,6.0
98185598,37.4075105,-5.9243464,6.0
98252129,37.4024957,-5.929114,6.0
98252132,37.402311,-5.9295149,6.0
98252136,37.4019324,-5.9292422,6.0
98252139,37.4021657,-5.9288974,6.0
98544611,37.4020402,-5.9301039,6.0
98544612,37.4015879,-5.9318472,6.0
98544613,37.4018967,-5.9304227,6.0
98544615,37.4021608,-5.9298361,6.0
98544616,37.401661,-5.9298312,6.0
98544617,37.4015128,-5.9301556,6.0
98544619,37.4017817,-5.9295667,6.0
98624316,37.4014069,-5.9277214,6.0
98624317,37.4011278,-5.9318442,6.0
98624318,37.401431,-5.9313493,6.0
98624320,37.4016729,-5.927201,6.0
98624323,37.401015,-5.9311054,6.0
98624324,37.4021156,-5.9277719,6.0
98624325,37.4006659,-5.9308534,6.0
98624326,37.4026029,-5.9281204,6.0
98624327,37.4027284,-5.9279746,6.0
98624330,37.4003663,-5.9305402,6.0
98624332,37.4009015,-5.9289402,6.0
98624333,37.4022847,-5.9305324,6.0
98624335,37.4021888,-5.9312035,15.0
98624336,37.4005545,-5.9320882,6.0
98624337,37.4001011,-5.9311088,6.0
98624338,37.4029687,-5.9289418,6.0
98624339,37.4002043,-5.9318382,6.0
98624340,37.4012453,-5.9315919,6.0
98624341,37.4007448,-5.9316662,6.0
98624342,37.4005795,-5.9300596,6.0
98624343,37.4017087,-5.9311866,6.0
98624344,37.4011933,-5.9297024,6.0
98624346,37.4020235,-5.931102,6.0
98624348,37.4025051,-5.9300602,6.0
98624352,37.4015641,-5.9273772,6.0
98624353,37.4021799,-5.9275669,6.0
98624354,37.4017069,-5.9308368,6.0
98624356,37.4008259,-5.9294816,6.0
98624357,37.4012948,-5.9306009,6.0
98624361,37.401153,-5.9279743,6.0
98624362,37.4031172,-5.9290501,6.0
98624364,37.4027312,-5.928769,6.0
98624365,37.4009193,-5.9303126,6.0
98624368,37.4024436,-5.9284619,6.0
98624369,37.4004073,-5.9314238,6.0
98624370,37.4019653,-5.928108,6.0
98742930,37.3900911,-5.925132,6.0
98742935,37.3901352,-5.925345,6.0
98901305,37.4024434,-5.9306549,15.0
98901314,37.4029137,-5.9296106,6.0
99016656,37.3568061,-5.9891132,6.0
102882421,37.3934058,-6.0070633,6.0
102893198,37.4214917,-5.9958134,6.0
104674984,37.3700465,-5.9600036,6.0
116078323,37.385103,-5.9657754,6.0
116078324,37.3837049,-5.9661114,6.0
116689837,37.390544,-5.998479,6.0
116717671,37.4045988,-6.0055358,6.0
116719810,37.3312426,-5.9701094,6.0
116719811,37.3302299,-5.9700616,6.0
116719993,37.3335449,-5.9699724,6.0
116719995,37.3317255,-5.9694963,6.0
116719999,37.3307829,-5.9693248,6.0
116720000,37.3321694,-5.9696551,6.0
116720001,37.3313005,-5.9693692,6.0
116764949,37.3932403,-5.9671199,6.0
116764950,37.3946756,-5.964333,6.0
116764951,37.3941674,-5.9633514,6.0
116764952,37.3953638,-5.965288,6.0
116764953,37.3952655,-5.9647199,6.0
116764955,37.394846,-5.9651726,6.0
116764956,37.3955596,-5.9660083,6.0
116764957,37.3946023,-5.9655134,6.0
116764958,37.3936236,-5.963979,6.0
116764959,37.395786,-5.9654982,6.0
116764960,37.3941516,-5.9637829,6.0
116764961,37.3942749,-5.966507,6.0
116764963,37.3939965,-5.9650951,6.0
116764964,37.3938061,-5.9670086,6.0
116764966,37.3948048,-5.9641161,6.0
116764967,37.3964611,-5.966208,6.0
116764968,37.3953286,-5.9655522,6.0
116764970,37.394829,-5.9657118,6.0
116764972,37.3962108,-5.9659666,6.0
116764975,37.3935476,-5.9664118,6.0
116764978,37.3934795,-5.9633957,6.0
116764981,37.3960233,-5.9666009,6.0
116764984,37.3944348,-5.9647531,6.0
116764986,37.3932903,-5.9664306,6.0
116764990,37.3945215,-5.9638436,15.0
116764993,37.3941322,-5.9658285,6.0
116764995,37.3960435,-5.9656335,6.0
